,reaction_id,rxn_smiles,products_run,PatentNumber
3327,44407,[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[OH:21])[CH2:22][CH2:23]3)#[CH:24].[C:25]([O:26][C:27](=[O:28])[CH2:29][CH2:30][CH3:31])(=[O:32])[CH2:33][CH2:34][CH3:35]>>[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[O:21][C:27](=[O:32])[CH2:33][CH2:34][CH3:35])[CH2:22][CH2:23]3)#[CH:24],[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[O:21][C:27](=[O:32])[CH2:33][CH2:34][CH3:35])[CH2:22][CH2:23]3)#[CH:24].[C:1]([C@:2]1([O:3][C:27](=[O:32])[CH2:33][CH2:34][CH3:35])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[OH:21])[CH2:22][CH2:23]3)#[CH:24],US04307088
3328,45186,[C:1]([Cl:2])(=[O:3])[CH2:4][CH3:5].[cH:6]1[n:7]2[c:8]([n:9][n:10]1)[NH:11][NH:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1-2>C1C=CC=CC=1>[C:1](=[O:3])([CH2:4][CH3:5])[N:12]1[NH:11][c:8]2[n:7]([cH:6][n:10][n:9]2)-[c:18]2[c:13]1[cH:14][cH:15][cH:16][cH:17]2,[C:1](=[O:3])([CH2:4][CH3:5])[N:12]1[NH:11][c:8]2[n:7]([cH:6][n:10][n:9]2)-[c:18]2[c:13]1[cH:14][cH:15][cH:16][cH:17]2.[C:1](=[O:3])([CH2:4][CH3:5])[N:11]1[c:8]2[n:7]([cH:6][n:10][n:9]2)-[c:18]2[c:13]([cH:14][cH:15][cH:16][cH:17]2)[NH:12]1,US04316022
3329,44406,[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[OH:21])[CH2:22][CH2:23]3)#[CH:24].[C:25]([O:26][C:27](=[O:28])[CH3:29])(=[O:30])[CH3:31]>N1C=CC=CC=1>[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[O:21][C:25](=[O:30])[CH3:31])[CH2:22][CH2:23]3)#[CH:24],[C:1]([C@:2]1([OH:3])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[O:21][C:25](=[O:30])[CH3:31])[CH2:22][CH2:23]3)#[CH:24].[C:1]([C@:2]1([O:3][C:25](=[O:30])[CH3:31])[CH:4]=[CH:5][C@H:6]2[C@H:7]3[C@H:8]([CH2:9][CH2:10][C@:11]12[CH2:12][CH3:13])[C@@H:14]1[C:15](=[CH:16][C:17](=[O:18])[CH2:19][C@@H:20]1[OH:21])[CH2:22][CH2:23]3)#[CH:24],US04307088
3330,45187,[C:1]([Cl:2])(=[O:3])[CH3:4].[cH:5]1[n:6]2[c:7]([n:8][n:9]1)[NH:10][NH:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1-2>C1(C)C=CC=CC=1>[C:1](=[O:3])([CH3:4])[N:11]1[NH:10][c:7]2[n:6]([cH:5][n:9][n:8]2)-[c:17]2[c:12]1[cH:13][cH:14][cH:15][cH:16]2,[C:1](=[O:3])([CH3:4])[N:11]1[NH:10][c:7]2[n:6]([cH:5][n:9][n:8]2)-[c:17]2[c:12]1[cH:13][cH:14][cH:15][cH:16]2.[C:1](=[O:3])([CH3:4])[N:10]1[c:7]2[n:6]([cH:5][n:9][n:8]2)-[c:17]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[NH:11]1,US04316022
3331,46061,[C:1]([O:2][C:3](=[O:4])[CH3:5])(=[O:6])[CH3:7].[OH:8][C@@H:9]([C:10]([CH3:11])([CH3:12])[CH2:13][CH2:14][CH2:15][CH3:16])/[CH:17]=[CH:18]/[C@H:19]1[C@@H:20]([CH2:21]/[CH:22]=[CH:23]\[CH2:24][CH2:25][CH2:26][C:27]([OH:28])=[O:29])[C:30](=[O:31])[CH2:32][C@H:33]1[CH3:34]>CN(C)C1C=CN=CC=1.C(N(CC)CC)C>[C:1](=[O:6])([CH3:7])[O:8][C@@H:9]([C:10]([CH3:11])([CH3:12])[CH2:13][CH2:14][CH2:15][CH3:16])/[CH:17]=[CH:18]/[C@H:19]1[C@@H:20]([CH2:21]/[CH:22]=[CH:23]\[CH2:24][CH2:25][CH2:26][C:27]([OH:28])=[O:29])[C:30](=[O:31])[CH2:32][C@H:33]1[CH3:34],[C:1](=[O:6])([CH3:7])[O:8][C@@H:9]([C:10]([CH3:11])([CH3:12])[CH2:13][CH2:14][CH2:15][CH3:16])/[CH:17]=[CH:18]/[C@H:19]1[C@@H:20]([CH2:21]/[CH:22]=[CH:23]\[CH2:24][CH2:25][CH2:26][C:27]([OH:28])=[O:29])[C:30](=[O:31])[CH2:32][C@H:33]1[CH3:34].[C:1](=[O:6])([CH3:7])[O:28][C:27]([CH2:26][CH2:25][CH2:24]/[CH:23]=[CH:22]\[CH2:21][C@@H:20]1[C@H:19](/[CH:18]=[CH:17]/[C@@H:9]([OH:8])[C:10]([CH3:11])([CH3:12])[CH2:13][CH2:14][CH2:15][CH3:16])[C@H:33]([CH3:34])[CH2:32][C:30]1=[O:31])=[O:29],US04325970
3332,48990,[CH3:1][C:2]([CH3:3])([NH2:4])[CH2:5][NH2:6].[c:7]1([CH2:8][C:9]([Cl:10])=[O:11])[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCOCC>[CH3:1][C:2]([CH3:3])([NH2:4])[CH2:5][NH:6][C:9]([CH2:8][c:7]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[O:11],[CH3:1][C:2]([CH3:3])([NH2:4])[CH2:5][NH:6][C:9]([CH2:8][c:7]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[O:11].[CH3:1][C:2]([CH3:3])([NH:4][C:9]([CH2:8][c:7]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[O:11])[CH2:5][NH2:6],US04355045
3333,49488,[Cl:1][c:2]1[n:3][cH:4][cH:5][cH:6][n:7]1.[F:8][C:9]([F:10])([F:11])[CH2:12][N:13]=[C:14]([NH2:15])[NH:16][c:17]1[s:18][cH:19][c:20]([CH2:21][CH2:22][CH2:23][CH2:24][NH2:25])[n:26]1>C(#N)C>[c:2]1([NH:25][CH2:24][CH2:23][CH2:22][CH2:21][c:20]2[cH:19][s:18][c:17]([NH:16][C:14](=[N:13][CH2:12][C:9]([F:8])([F:10])[F:11])[NH2:15])[n:26]2)[n:3][cH:4][cH:5][cH:6][n:7]1,[c:2]1([NH:25][CH2:24][CH2:23][CH2:22][CH2:21][c:20]2[cH:19][s:18][c:17]([NH:16][C:14](=[N:13][CH2:12][C:9]([F:8])([F:10])[F:11])[NH2:15])[n:26]2)[n:3][cH:4][cH:5][cH:6][n:7]1.[c:2]1([NH:15][C:14](=[N:13][CH2:12][C:9]([F:8])([F:10])[F:11])[NH:16][c:17]2[s:18][cH:19][c:20]([CH2:21][CH2:22][CH2:23][CH2:24][NH2:25])[n:26]2)[n:3][cH:4][cH:5][cH:6][n:7]1,US04362728
3334,56150,[CH2:1]([O:2][CH2:3][C:4]([Cl:5])=[O:6])[CH3:7].[OH:8][C@H:9]1[CH2:10][C@@:11]2([CH3:12])[C@@H:13]([CH2:14][CH2:15][C@:16]2([OH:17])[C:18](=[O:19])[CH2:20][OH:21])[C@H:22]2[C@H:23]1[C@:24]1([CH3:25])[C:26](=[CH:27][C:28](=[O:29])[CH:30]=[CH:31]1)[CH2:32][CH2:33]2>>[CH2:1]([O:2][CH2:3][C:4](=[O:6])[O:21][CH2:20][C:18]([C@:16]1([OH:17])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25])=[O:19])[CH3:7],[CH2:1]([O:2][CH2:3][C:4](=[O:6])[O:21][CH2:20][C:18]([C@:16]1([OH:17])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25])=[O:19])[CH3:7].[CH2:1]([O:2][CH2:3][C:4](=[O:6])[O:8][C@H:9]1[CH2:10][C@@:11]2([CH3:12])[C@@H:13]([CH2:14][CH2:15][C@:16]2([OH:17])[C:18](=[O:19])[CH2:20][OH:21])[C@H:22]2[C@H:23]1[C@:24]1([CH3:25])[C:26](=[CH:27][C:28](=[O:29])[CH:30]=[CH:31]1)[CH2:32][CH2:33]2)[CH3:7].[CH2:1]([O:2][CH2:3][C:4](=[O:6])[O:17][C@@:16]1([C:18](=[O:19])[CH2:20][OH:21])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25])[CH3:7],US04435390
3335,55926,[CH3:1][C:2]1([CH3:3])[CH2:4][C:5](=[O:6])[C:7]([C:8](=[O:9])[CH2:10][CH3:11])=[C:12]([OH:13])[CH2:14]1.[Cl:15][c:16]1[s:17][c:18]([CH2:19][O:20][NH2:21])[cH:22][cH:23]1>C(O)C.C(Cl)Cl>[CH3:1][C:2]1([CH3:3])[CH2:4][C:5](=[O:6])[C:7]([C:8]([CH2:10][CH3:11])=[N:21][O:20][CH2:19][c:18]2[s:17][c:16]([Cl:15])[cH:23][cH:22]2)=[C:12]([OH:13])[CH2:14]1,[CH3:1][C:2]1([CH3:3])[CH2:4][C:5](=[O:6])[C:7]([C:8]([CH2:10][CH3:11])=[N:21][O:20][CH2:19][c:18]2[s:17][c:16]([Cl:15])[cH:23][cH:22]2)=[C:12]([OH:13])[CH2:14]1.[CH3:1][C:2]1([CH3:3])[CH2:4][C:5](=[N:21][O:20][CH2:19][c:18]2[s:17][c:16]([Cl:15])[cH:23][cH:22]2)[C:7]([C:8](=[O:9])[CH2:10][CH3:11])=[C:12]([OH:13])[CH2:14]1,US04432786
3336,56151,[CH3:1][O:2][CH2:3][CH2:4][C:5]([Cl:6])=[O:7].[OH:8][C@H:9]1[CH2:10][C@@:11]2([CH3:12])[C@@H:13]([CH2:14][CH2:15][C@:16]2([OH:17])[C:18](=[O:19])[CH2:20][OH:21])[C@H:22]2[C@H:23]1[C@:24]1([CH3:25])[C:26](=[CH:27][C:28](=[O:29])[CH:30]=[CH:31]1)[CH2:32][CH2:33]2>>[CH3:1][O:2][CH2:3][CH2:4][C:5](=[O:7])[O:21][CH2:20][C:18]([C@:16]1([OH:17])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25])=[O:19],[CH3:1][O:2][CH2:3][CH2:4][C:5](=[O:7])[O:21][CH2:20][C:18]([C@:16]1([OH:17])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25])=[O:19].[CH3:1][O:2][CH2:3][CH2:4][C:5](=[O:7])[O:8][C@H:9]1[CH2:10][C@@:11]2([CH3:12])[C@@H:13]([CH2:14][CH2:15][C@:16]2([OH:17])[C:18](=[O:19])[CH2:20][OH:21])[C@H:22]2[C@H:23]1[C@:24]1([CH3:25])[C:26](=[CH:27][C:28](=[O:29])[CH:30]=[CH:31]1)[CH2:32][CH2:33]2.[CH3:1][O:2][CH2:3][CH2:4][C:5](=[O:7])[O:17][C@@:16]1([C:18](=[O:19])[CH2:20][OH:21])[C@@:11]2([CH3:12])[CH2:10][C@H:9]([OH:8])[C@H:23]3[C@H:22]([C@@H:13]2[CH2:14][CH2:15]1)[CH2:33][CH2:32][C:26]1=[CH:27][C:28](=[O:29])[CH:30]=[CH:31][C@:24]31[CH3:25],US04435390
